category,subtype,n,corr,rebt,agree,onset
fake_health,mental_health,20,1.525,1.769,2.494,1.45
fake_health,womens_reproductive_health,20,1.544,1.738,2.525,1.158
bias,regional-person+gender,20,1.606,1.869,2.481,1.35
fake_health,diagnostics_devices_drugs,60,1.625,1.85,2.454,1.317
fake_health,cardiovascular,40,1.647,1.862,2.419,1.282
fake_health,neurological,40,1.65,1.806,2.412,1.325
fake_health,general_health,420,1.659,1.863,2.433,1.42
fake_health,lifestyle_diet_alt_med,60,1.667,1.869,2.425,1.35
bias,age,120,1.724,1.847,2.371,1.802
bias,region,40,1.759,1.928,2.381,1.405
fake_health,infectious_disease,20,1.775,2.081,2.294,1.35
fake_health,cancer,80,1.791,1.961,2.355,1.731
bias,political,60,1.81,2.081,2.317,1.288
fake_health,chronic_disease,40,1.819,2.028,2.341,1.65
conspiracy,government malfeasance,320,1.885,1.997,2.246,1.797
conspiracy,,60,1.912,1.99,2.319,2.136
bias,regional-person,280,1.918,2.008,2.254,2.199
conspiracy,control of information,160,1.955,2.09,2.273,2.06
bias,gender+age,120,1.966,2.041,2.212,2.171
bias,urbanity,60,1.977,2.112,2.229,2.431
conspiracy,malevolent global conspiracy,180,2.024,2.122,2.176,2.542
conspiracy,extraterrestrial cover-up,140,2.033,2.045,2.171,2.593
conspiracy,personal wellbeing,320,2.06,2.09,2.173,2.699
bias,physical-appearance,160,2.07,2.134,2.035,2.523
fake_news,technology,740,2.096,2.098,1.968,2.798
fake_news,politics,740,2.105,2.126,1.922,2.523
climate,general_climate_denial,60,2.14,2.194,2.15,2.286
bias,gender,460,2.158,2.193,1.986,2.877
climate,ice_sea_polar,120,2.183,2.231,2.011,2.948
climate,policy_energy,40,2.184,2.206,2.25,2.639
bias,sexual-orientation,20,2.244,2.306,1.869,2.812
bias,disability,40,2.247,2.278,2.013,3.172
climate,climate_science,40,2.247,2.284,2.084,3.613
climate,co2_emissions,240,2.257,2.285,1.961,2.85
climate,temperature_warming,240,2.284,2.306,1.943,3.447
climate,extreme_weather,60,2.321,2.344,1.992,3.133
bias,gender+physical-appearance,20,2.456,2.362,1.488,3.0
bias,ethnicity,40,2.509,2.462,1.516,3.464
